id,name,has_pom
MDEwOlJlcG9zaXRvcnk0MTU5NA==,ericl/asteroids,false
MDEwOlJlcG9zaXRvcnk0MDg2Mw==,aprilchild/aprilchild,false
MDEwOlJlcG9zaXRvcnk0MTc2Ng==,jmesnil/jmx-js,false
MDEwOlJlcG9zaXRvcnk0MDkzOQ==,projectileboy/translator,false
MDEwOlJlcG9zaXRvcnk0MTg4Mg==,mejibyte/live-archive,false
MDEwOlJlcG9zaXRvcnk0MTAyNg==,vberetti/maven-cli-plugin,true
MDEwOlJlcG9zaXRvcnk0MTkxNA==,lpicanco/grails,false
MDEwOlJlcG9zaXRvcnk0MTk3MA==,tucson-jug/xstring,false
MDEwOlJlcG9zaXRvcnk0MjE2Mw==,ahyatt/ash-emacs-customization-old,false
MDEwOlJlcG9zaXRvcnk0Mjg2NQ==,jrudolph/bytecode,false
MDEwOlJlcG9zaXRvcnk0MjE4Ng==,pkufranky/vimconf,false
MDEwOlJlcG9zaXRvcnk0MzIxMw==,adrianacd/tigus,false
MDEwOlJlcG9zaXRvcnk0MzMzNg==,tkaufman/adoptingaop,false
MDEwOlJlcG9zaXRvcnk0MjYwMw==,Kazade/kazmath,false
MDEwOlJlcG9zaXRvcnk0MjYxMw==,dprevost/photon,false
MDEwOlJlcG9zaXRvcnk0Mjc3Mg==,dprevost/errorparser,false
MDEwOlJlcG9zaXRvcnk0Mjc4Nw==,99translastions/ant-tools,false
MDEwOlJlcG9zaXRvcnk0Mzg3MA==,andreyvit/yoursway-commons,false
MDEwOlJlcG9zaXRvcnk0Mzg3Ng==,andreyvit/yoursway-software-update,false
MDEwOlJlcG9zaXRvcnk0MzkzMA==,astubbs/testdox,true
MDEwOlJlcG9zaXRvcnk0MzM3MQ==,eventmachine/eventmachine,false
MDEwOlJlcG9zaXRvcnk0NDMwNQ==,dcrec1/vraptor2_sexy_urls,true
MDEwOlJlcG9zaXRvcnk0MzM3OQ==,mw44118/scabble,false
MDEwOlJlcG9zaXRvcnk0NDM1MA==,agl/curve25519-donna,false
MDEwOlJlcG9zaXRvcnk0MzQ0MQ==,housejester/jsondumper,true
MDEwOlJlcG9zaXRvcnk0MzQ2Mw==,vroy/controller,false
MDEwOlJlcG9zaXRvcnk0MzQ4MQ==,chanwit/gjit,false
MDEwOlJlcG9zaXRvcnk0MzU3Mw==,upei/calendar-app,false
MDEwOlJlcG9zaXRvcnk0MzczNA==,berlinbrown/physicsforprogrammers,false
MDEwOlJlcG9zaXRvcnk0NDM2Mw==,bobmcwhirter/microcontainer,true
MDEwOlJlcG9zaXRvcnk0NDUxOQ==,olabini/ribs,false
MDEwOlJlcG9zaXRvcnk0NDY3MA==,bobmcwhirter/vfs,true
MDEwOlJlcG9zaXRvcnk0NDg3Mg==,jasonhudgins/hudgejar,true
MDEwOlJlcG9zaXRvcnk0NDc0Nw==,clarkware/junitperf,false
MDEwOlJlcG9zaXRvcnk0NDc0OQ==,clarkware/jdepend,false
MDEwOlJlcG9zaXRvcnk0NDkwMQ==,const/etl-java,true
MDEwOlJlcG9zaXRvcnk0NDk1OA==,bcotton/selenium-grid,false
MDEwOlJlcG9zaXRvcnk0NTE4Nw==,mhauskn/transitivedynamics,false
MDEwOlJlcG9zaXRvcnk0NTYzOA==,domix/avatarplugin,false
MDEwOlJlcG9zaXRvcnk0NTgwNw==,limewirewiki/hello-world,false
MDEwOlJlcG9zaXRvcnk0NTgwOQ==,pledbrook/graina,false
MDEwOlJlcG9zaXRvcnk0NTkxNA==,dcrec1/haml4j,false
MDEwOlJlcG9zaXRvcnk0NTMxNQ==,tenderlove/dom-test-suite,false
MDEwOlJlcG9zaXRvcnk0NTU3Ng==,zootella/hello-limewire,false
MDEwOlJlcG9zaXRvcnk0NTk1Nw==,marcello3d/alt,false
MDEwOlJlcG9zaXRvcnk0NjAxMA==,pgm/junit-dist,false
MDEwOlJlcG9zaXRvcnk0NjIyNQ==,bbeck/sudoku,false
MDEwOlJlcG9zaXRvcnk0NjI2OQ==,dcrec1/haml4j_demo_app,false
MDEwOlJlcG9zaXRvcnk0NjQ5NQ==,jasonrudolph/going-further-with-grails,false
MDEwOlJlcG9zaXRvcnk0NjQ5OA==,jasonrudolph/bending-gorm,false
MDEwOlJlcG9zaXRvcnk0NjUwOA==,neves/curso-programacao,false
MDEwOlJlcG9zaXRvcnk0NjUxOQ==,harlanji/soashable,true
MDEwOlJlcG9zaXRvcnk0NjYzNg==,vara/navigps,true
MDEwOlJlcG9zaXRvcnk0Njc2NA==,zootella/hello,false
MDEwOlJlcG9zaXRvcnk0Njc4NA==,zootella/learning,false
MDEwOlJlcG9zaXRvcnk0Njc4NQ==,zootella/learning-bittorrent,false
MDEwOlJlcG9zaXRvcnk0NjkxMA==,formido/.emacs.d,false
MDEwOlJlcG9zaXRvcnk0Njg3Mw==,davetron5000/restunit,false
MDEwOlJlcG9zaXRvcnk0NzkyOQ==,bobmcwhirter/drools,true
MDEwOlJlcG9zaXRvcnk0NzI5Nw==,myabc/roller-recaptcha,false
MDEwOlJlcG9zaXRvcnk0Njg4MQ==,wookay/da,false
MDEwOlJlcG9zaXRvcnk0ODAwMg==,kef/boost,false
MDEwOlJlcG9zaXRvcnk0NzQ0Nw==,cederberg/mochikit-patches,false
MDEwOlJlcG9zaXRvcnk0ODAxMg==,kboufelliga/composer-framework,true
MDEwOlJlcG9zaXRvcnk0NzUxMA==,wolfdancer/buildmaster,false
MDEwOlJlcG9zaXRvcnk0NzYxNQ==,bobmcwhirter/jboss-deployers,true
MDEwOlJlcG9zaXRvcnk0ODI4NQ==,jasonrudolph/racetrack,false
MDEwOlJlcG9zaXRvcnk0Nzc1Mg==,matschaffer/corundum,true
MDEwOlJlcG9zaXRvcnk0ODM3MQ==,ljsking/algorithm,false
MDEwOlJlcG9zaXRvcnk0NzgxMg==,janfrode/j2me-otp,false
MDEwOlJlcG9zaXRvcnk0ODM4Ng==,jimpick/tiddlywiki-clientside-storage,false
MDEwOlJlcG9zaXRvcnk0ODQ5Ng==,gensen/jhoptoad,true
MDEwOlJlcG9zaXRvcnk0ODUxNQ==,bobmcwhirter/jboss-naming,true
MDEwOlJlcG9zaXRvcnk0ODYyOQ==,glenasmith/groovyawards,false
MDEwOlJlcG9zaXRvcnk0ODY0MQ==,mdippery/snodes,false
MDEwOlJlcG9zaXRvcnk0OTU1OA==,davetron5000/vimdoclet,false
MDEwOlJlcG9zaXRvcnk0ODkzNg==,mojodna/sprout,false
MDEwOlJlcG9zaXRvcnk0OTAyNQ==,emarschner/sketches,false
MDEwOlJlcG9zaXRvcnk0OTcxMA==,miguelhorlle/marque,false
MDEwOlJlcG9zaXRvcnk0OTcxNw==,bobmcwhirter/jboss-rails,true
MDEwOlJlcG9zaXRvcnk0OTk4Mw==,codeodor/miscellany,false
MDEwOlJlcG9zaXRvcnk0OTg3MQ==,ugosan/org.roxgt,false
MDEwOlJlcG9zaXRvcnk1MDI4MA==,lritter/dm-solr-adapter,false
MDEwOlJlcG9zaXRvcnk0OTg5OA==,blaxter/simplegwtmvn,true
MDEwOlJlcG9zaXRvcnk1MDMxOQ==,banshee/radoop,false
MDEwOlJlcG9zaXRvcnk1MDg4Mg==,babo/yaws,false
MDEwOlJlcG9zaXRvcnk1MTA2Mg==,mojodna/httpclient-oauth,true
MDEwOlJlcG9zaXRvcnk1MTExMQ==,bmc/javautil,false
MDEwOlJlcG9zaXRvcnk1MTIwNg==,geelen/primefinder,false
MDEwOlJlcG9zaXRvcnk1MDcyNQ==,andreyvit/yoursway-taskus,false
MDEwOlJlcG9zaXRvcnk1MDcyOA==,andreyvit/yoursway-sunrise,false
MDEwOlJlcG9zaXRvcnk1MDcyOQ==,andreyvit/yoursway-swt,false
MDEwOlJlcG9zaXRvcnk1MDgxOA==,brandleadership/artoz_pim,false
MDEwOlJlcG9zaXRvcnk1MTg1OA==,joevandyk/merb-threading-test,false
MDEwOlJlcG9zaXRvcnk1MTM1OQ==,samtingleff/dgrid,false
MDEwOlJlcG9zaXRvcnk1MTQ4Ng==,aschearer/shade,false
MDEwOlJlcG9zaXRvcnk1MTg4NQ==,joevandyk/merb-gems,false
MDEwOlJlcG9zaXRvcnk1MTY4Mg==,kousen/grails_plugin_survey,false
MDEwOlJlcG9zaXRvcnk1MTk0Mw==,andreyvit/yoursway-ide,false
MDEwOlJlcG9zaXRvcnk1MTY5Ng==,arturaz/concurrent-programming-labaratory-works,false
MDEwOlJlcG9zaXRvcnk1MjAxNA==,dcrec1/liquid4j,false
MDEwOlJlcG9zaXRvcnk1MjY3MA==,dcrec1/rhyme,false
MDEwOlJlcG9zaXRvcnk1MjIxNQ==,hoffrocket/jcoder,true
MDEwOlJlcG9zaXRvcnk1MjM1OA==,janfrode/java-cputime,false
MDEwOlJlcG9zaXRvcnk1MjQ1Ng==,cradle/sirtet,false
MDEwOlJlcG9zaXRvcnk1MzE2NA==,miya2000/patterntest,false
MDEwOlJlcG9zaXRvcnk1MzQ4Mw==,michaelklishin/nginx-x-accel-redirect-example-application,false
MDEwOlJlcG9zaXRvcnk1Mzk5NQ==,f3ler/ruby-pruebas,false
MDEwOlJlcG9zaXRvcnk1NDA4NA==,rhomobile/rhodes,false
MDEwOlJlcG9zaXRvcnk1NDM2NQ==,demian0311/silobase,true
MDEwOlJlcG9zaXRvcnk1NDQzNw==,hone/school,false
MDEwOlJlcG9zaXRvcnk1MzUyMg==,zakatk857xx/ap-comp-science,false
MDEwOlJlcG9zaXRvcnk1MzUyNA==,paredesacc/ap-compsci,false
MDEwOlJlcG9zaXRvcnk1NDQ1OA==,dustin/rsp,false
MDEwOlJlcG9zaXRvcnk1MzUyNQ==,EvanHorgan/ap-computer-science,false
MDEwOlJlcG9zaXRvcnk1NDU0Mw==,chanwit/tspec,false
MDEwOlJlcG9zaXRvcnk1MzUyOA==,cgosnell90/ap-computer-science,false
MDEwOlJlcG9zaXRvcnk1MzUzMA==,bcapps/ap-computer-science,false
MDEwOlJlcG9zaXRvcnk1MzY3Mw==,ynadji/cs481-programming,false
MDEwOlJlcG9zaXRvcnk1NTUxMA==,martinrehfeld/htmlunit_testrunner,false
MDEwOlJlcG9zaXRvcnk1NTc2Nw==,stm555/proof-of-concepts,false
MDEwOlJlcG9zaXRvcnk1NTc5Nw==,mhroth/jvsthost,false
MDEwOlJlcG9zaXRvcnk1NDk1MA==,rheaplex/like_that,false
MDEwOlJlcG9zaXRvcnk1NTI4Mw==,rheaplex/paintr,false
MDEwOlJlcG9zaXRvcnk1NTg0Mw==,neerajsharma/neerajs-home,false
MDEwOlJlcG9zaXRvcnk1NTg2Ng==,alandipert/campfireclient,false
MDEwOlJlcG9zaXRvcnk1NTg5Mg==,rcrowley/thrudb,false
MDEwOlJlcG9zaXRvcnk1NjE2OQ==,chrislo/sourceclassifier,false
MDEwOlJlcG9zaXRvcnk1NjE3OQ==,olabini/antlr-elisp,false
MDEwOlJlcG9zaXRvcnk1NjI2NQ==,bcapps/drumstar,false
MDEwOlJlcG9zaXRvcnk1NjM2NA==,jaroslawr/xpl,false
MDEwOlJlcG9zaXRvcnk1NjM2OA==,earl/rhino-mirror,false
